context_no;fairytale;unmarked;intuitive;MCI;SEV
11;Ein reicher Kaufmann hatte einmal eine Auseinandersetzung mit seinem Kammerdiener. Da beschloss der Diener, sich aufzumachen, um eine andere Anstellung zu suchen. Schließlich vernahm er, dass in einem kleinen Schlosse auf der anderen Seite des Flusses ein fleißiger und ergebener Kammerdiener gesucht werde. Da bot der Mann geschwind dem alten Fürsten, welcher nur noch im Bette lag, seine Dienste an.;Ein Architekt geriet wegen seiner Entwürfe immer wieder mit seinem Arbeitgeber in Konflikt. Daraufhin beschloss er, zu kündigen und sich eine andere Stelle zu suchen. In seiner Tageszeitung las er, dass im Nachbarort eine alte Adelsfamilie einen Architekten für die Sanierung ihrer alten Schlossanlage einstellen wollte. Er bewarb sich deshalb bei dem alten Fürsten, der nur noch im Bett lag. ;Der gehbehinderte Fürst hinkte durchs Zimmer.;Der gehbehinderte Fürst rannte durchs Zimmer.;Der gehbehinderte Fürst rieselte auf den Thron.
12;Vor langer Zeit lebte ein alter Gärtner, der sammelte nichts als Vasen und Töpfchen, große und kleine, feine und grobe, in allen Farben des Regenbogens. An der Wand seiner Kammer stapelten sich die Gefäße bis unter die Decke und kaum war noch Platz für seine übrigen Habseligkeiten. Ganz zuoberst aber lag ein gläserner Topf, an den der alte Gärtner nicht mehr heranreichte.;Ein pensionierter Gärtner, dessen Hobby das Handwerk des Töpferns, der Glasbläserkunst und der Keramik war, hatte in seiner Garage eine große Sammlung verschiedener Exemplare von ausgefallenen Blumentöpfen. Die Gefäße füllten an der Längsseite der Garage ein ganzes Regal, das bis zur Decke reichte. Auf dem obersten Regalbrett stand ein gläserner Topf, an den der pensionierte Gärtner nicht mehr heranreichte.;Der gläserne Topf erwitterte zunehmend.;Der gläserne Topf vermoderte sofort.;Der gläserne Topf vertrocknete völlig.
13;Es lebte früher ein König, der wünschte sich für seine Hofkapelle eine Sängerin. Lange hatte er vergeblich nach einem feinen Stimmchen gesucht, doch keine, die an seinem Thron gesungen hatte, vermochte sein Herz zu erfreuen. Endlich kam eine junge Küchenmagd an den Hof und als der König sie singen hörte, lud er sie zu einem Konzert. Das Mädchen war sehr beklommen.;Der Chef eines Musiklabels suchte für eine Band, die bei ihm unter Vertrag stand, eine neue Sängerin. Über einen längeren Zeitraum hinweg hielt er mehrere Castings ab, aber mit keiner Sängerin war er richtig zufrieden. Als er zufällig eine junge Putzfrau vor sich hinsummen hörte, überredete er sie kurzerhand zu einem Termin für ein Vorsingen. Dort war das Mädchen sehr eingeschüchtert.;Das stimmlose Mädchen beobachtete den Mann.;Das stimmlose Mädchen sang auf der Bühne.;Das stimmlose Mädchen flimmerte auf der Bühne.
14;Vor vielen Jahren trug es sich zu, dass ein Maler in das Haus eines reichen Edelmanns gerufen wurde. Dieser wollte ihn reich belohnen, wenn er ihm ein Gemälde von seiner Frau malen wollte. Also machte sich der Maler ans Werk. Doch als der Edelmann das fertige Bild sah, erkannte er seine Gemahlin nicht und warf das Gemälde ins Kaminfeuer.;Ein namhafter Portraitmaler wurde in die Villa eines Privatiers gerufen. Dieser machte ihm ein finanziell äußerst lukratives Angebot dafür, ein schönes Bild von seiner Frau anzufertigen, das der Maler annahm. Als der Privatier aber nach der Atelierssitzung das fertige Gemälde sah, stellte er eine mangelnde Ähnlichkeit zwischen dem Abbild und seiner Frau fest und warf das Gemälde ins Kaminfeuer. ;Das brennende Gemälde verglühte allmählich.;Das brennende Gemälde verwitterte langsam.;Das brennende Gemälde zappelte herum. 
15;In einem Schloss lebte ein junges Burgfräulein, das plagte ein immer wiederkehrender leichter Schmerz in seinem zarten Körper. Da hörte es von einem Greis aus einem fernen Land, der ihm das Weh mit seiner Heilkunst austreiben wollte. So kam es, dass er es mit goldenen Schalen bedeckte und ihm einem Kräutersud aus Heilpflanzen auf dem Antlitz verrieb.;Eine junge Frau litt unter regelmäßig wiederkehrender Migräne. Sie hatte bereits mehrere Ärzte und Heilpraktiker aufgesucht, aber keiner hatte sie erfolgreich behandeln können. Schließlich hörte sie von einem Alternativmediziner, der für die Erfolge seiner unkonventionellen Behandlung von Migräne sehr bekannt war, und vereinbarte einen Termin mit ihm. Zur Entspannung begann er mit einer Klangschalentherapie und einem homöopathischen Kräutersud.;Der frische Kräutersud duftete lieblich. ;Der frische Kräutersud faulte auf dem Gesicht.;Der frische Kräutersud klemmte fest.
16;In einem tiefen Walde lebten einmal viele Wölfe. In zwei mächtigen Rudeln schlichen sie umher und fraßen, was immer sie zu fassen bekamen. Mit den Jahren wurden es mehr und mehr, bis endlich der Wald zu klein wurde, sie alle zu ernähren. Da begegneten sich die beiden Leitwölfe und kämpften, bis der Schwächere unterlag und aus dem Walde floh. ;In einem Nationalpark gab es eine beträchtliche Anzahl von Wölfen, die in zwei große Rudel unterteilt waren und den Bestand an anderen Arten im Park stark dezimierten. Die Population vermehrte sich so stark, dass die Fläche und das Nahrungsangebot nicht mehr für beide Rudel ausreichten. Nach einer Reihe von Kämpfen zwischen den beiden Rudelführern wurde der schwächere Wolf vertrieben.;Der fliehende Wolf rannte durch den Forst.;Der fliehende Wolf träumte vor sich hin.;Der fliehende Wolf flatterte auf der Stelle.
17;Einst trug es sich zu, dass ein Geselle durch einen Fluss schwimmen wollte, der war tief und breit. Er ließ sich an den Zweiglein des Ufers in den Strom hinab und trieb zur anderen Seite hinüber. Da erblickte ein Fischer auf seinem Boot den Gesellen und warf ihm eine Leine zu, denn er dachte, dass der Geselle Hilfe brauche.;Ein junger Mann beschloss, durch einen tiefen Fluss zu schwimmen. Wie Augenzeugen berichteten, ließ sich der Mann zuerst an den Ästen der Uferböschung herunter ins Wasser, und trieb dann zur anderen Seite hinüber. Eine Gruppe von Polizisten nahm irrtümlich an, dass er in Not sei und Hilfe brauchte, und versuchte ihn mit einer Leine aus dem Wasser zu holen.;Die nasse Leine schwamm an der Oberfläche.;Die nasse Leine verglühte an der Oberfläche.;Die nasse Leine eilte den Fluss hinunter.
18;Es lebte einmal ein Kutscher, der diente einem mächtigen König. Auf Geheiß des Herrschers putzte er das edelste Pferd bis tief in die Nacht so blank, dass es über und über im Licht der Fackeln glänzte. Doch als er das Ross am nächsten Morgen anspannen wollte, da sah der Mann, dass es auf einem Bein lahmte.;Ein Chauffeur in Staatsdienst bekam von höchster Stelle den Auftrag, einen wichtigen Diplomaten zu befördern. Bis tief in die Nacht polierte er seine beste Limousine so blank, dass man sich in ihrem Lack spiegeln konnte. Aber als er am nächsten Morgen aus der Garage fahren wollte, bemerkte der Mann, dass der Wagen einen platten Reifen hatte. ;Der erschöpfte Mann schimpfte vor sich hin.;Der erschöpfte Mann tänzelte durch die Gegend.;Der erschöpfte Mann verflüssigte sich langsam.
19;Ein junger Bauernsohn erbte von seinem Vater zwölf Kühe und drei Weiden. Einige Jahre bestellte er den Hof seines Vaters. Doch weil jeder Mann im Dorfe eine eigene Kuh hatte, wurde es ihm recht mühsam, Milch und Fleisch gut zu verkaufen. Da kam es ihm einmal in den Sinn, alle zwölf Kühe gegen sieben Zentner Weizen einzutauschen. ;Der Sohn eines Landwirts erbte von seinem Vater eine kleine Rinderzucht und ein Stück dazugehöriges Land. Einige Jahre führte er das Geschäft seines Vaters fort. Doch wegen Überangebots sanken die Milch- und Fleischpreise immer weiter. Da kam der junge Mann schließlich auf die Idee, das Zuchtgeschäft zu verkaufen und auf ökologischen Getreideanbau mit dem Schwerpunkt Weizen umzusteigen. ;Der keimende Weizen ergrünte auf dem Feld.;Der keimende Weizen welkte auf dem Feld.;Der keimende Weizen döste auf dem Feld.
20;Vor vielen Jahren lebte ein Kaiser, der besaß so viel Gold, Rubine und Smaragde, dass seine Gemächer nur so überquollen. Sein Schatz füllte viele Säle seines Schlosses. Eines Tages vermisste der Kaiser sein Hündchen.. Da ließ er alsbald im ganzen Lande verkünden, dass derjenige, der es ihm wiederbringe, zur Belohnung den wertvollsten Edelstein bekommen solle, den sein Schatz enthielt.;Das Vermögen eines Multimillionärs war derart immens, dass er seine große Schmucksammlung in mehreren Ausstellungsräumen unterbringen musste. Bereits mehrfach hatte er die Räumlichkeiten seiner Galerie ausbauen müssen. Als er eines Tages seinen Hund vermisste, erklärte der Multimillionär in einer großen Boulevardzeitung, dass derjenige, der ihm seinen Hund wiederbringt, einen Edelstein seiner Wahl aus dieser Sammlung aussuchen und behalten dürfe. ;Der unzerstörbare Edelstein flimmerte in tausend Farben.;Der unzerstörbare Edelstein zersprang in tausend Stücke.;Der unzerstörbare Edelstein duftete süß.
21;Vor langer Zeit lebte ein Hirtenbübchen, das war im ganzen Land bekannt für die klugen Antworten, die es trotz seiner jungen Jahre geben konnte. Niemand hatte ihm je eine Frage stellen können, die es nicht beantworten konnte. So kam es, dass das Kind in Länder nah und fern eingeladen wurde, damit ihm die Leute einmal eine Frage stellen konnten.;Der hochbegabte Sohn eines Viehzüchters war in ganz Deutschland für seine außergewöhnliche Intelligenz bekannt geworden, die er wiederholt mit der Lösung komplexer Probleme unter Beweis gestellt hatte. Es gab kaum Wissensgebiete, in denen er sich nicht auskannte. Deshalb wurde das Kind zu Talkshows verschiedener regionaler und nationaler Fernsehsender eingeladen, wo ihm vor laufender Kamera vom Moderator Wissensfragen gestellt wurden.;Das redegewandte Kind tänzelte aufgeregt herum.;Das redegewandte Kind nuschelte vor sich hin.;Das redegewandte Kind vermoderte zusehends.
22;In einem schönen Schloss lebte eine Gräfin viele, viele Jahre glücklich und zufrieden. Aber wie es so kam, gefiel es ihr plötzlich nicht mehr, und sie wünschte sich ein noch größeres und prächtigeres Schloss. Da schickte sie einen Diener, auf dass er ihren Wunsch erfülle. Als er an einem großen Anwesen vorüber kam, zogen dunkle Wolken auf.;Eine vermögende Frau lebte lange Zeit zufrieden in einer schönen Villa. Nach einigen Jahren jedoch gefiel ihr diese plötzlich nicht mehr, und sie beschloss in ein größeres, komfortableres Haus umzuziehen. Sie beauftrage daraufhin einen Makler mit der Suche nach ihrem persönlichen Wunschhaus. Als der Makler bei einem der von ihm verwalteten Anwesen vorfuhr, setzte heftiger Regen ein.;Das regenfeuchte Anwesen vermoderte allmählich.;Das regenfeuchte Anwesen flammte jäh auf.;Das regenfeuchte Anwesen schwamm eilig davon.
23;In einem Fürstentum lebte eine Prinzessin, die besaß tausend schöne Kleider. Eines Tages sollte sie den Prinzen zu einem Ball begleiten. Der Prinz fuhr in seiner Kutsche vor, doch die Prinzessin drehte und wendete sich über Stunden vor ihrem Spiegel und wusste nicht, in welchem Kleid sie am schönsten aussah. Da ließ der Prinz sein Kutschpferd stehen und ging zu ihr.;Eine junge Frau, die eine große Leidenschaft für Mode hatte, besaß einen ganzen Schrank voller schöner Kleider. Einmal war sie mit einem attraktiven Mann verabredet. Der Mann wollte sie mit einer Kutschfahrt überraschen, doch weil die Frau stundenlang vor dem Spiegel stand und sich nicht entscheiden konnte, was sie anziehen wollte, ließ der Mann das Kutschenpferd stehen und ging hinein. ;Das reglose Kutschpferd döste vor sich hin.;Das reglose Kutschpferd lief davon.;Das reglose Kutschpferd winkte den Passanten.
24;Es war ein alter Müller, der hatte eine Mühle, doch der Mühlbach war ausgetrocknet. Da rief er seine drei Söhne und sprach zu ihnen: „Es ist an der Zeit für euch, in die Welt hinauszugehen und euer Glück zu machen.“ Und er gab einem jeden von ihnen ein kleines Säcklein voll Mehl. Doch der jüngste Sohn ließ seinen Mehlsack fallen.;Der Besitzer eines Müllerbetriebs hatte nach einem schwierigen Geschäftsjahr beschlossen, die Firma zu verkaufen. Deshalb berief er seine Angestellten zu einer Besprechung ein und sagte ihnen, dass sie sich am besten anderswo bewerben sollten. Bevor sie gingen, gab er jedem von ihnen zur Erinnerung einen Sack Mehl aus dem Betrieb. Doch einer der Angestellten ließ aus Versehen seinen Mehlsack fallen.;Das staubtrockene Mehl rieselte aus dem Sack.;Das staubtrockene Mehl schimmelte augenblicklich.;Das staubtrockene Mehl sang ein Lied.
25;Ein Maurer hatte einmal zwei Töchter, die besorgten ihm den Haushalt. Die ältere Tochter war herrschsüchtig und ihr Haar war schwarz wie Ebenholz, doch die jüngere Tochter war gehorsam und still und ihr Haar war gülden wie Weizen. Eines Abends kam der Maurer erschöpft von der Arbeit heim. Drum legte er sich auf die Ofenbank. Da kam die jüngere Tochter herein.;Ein Maurermeister teilte seine Dreizimmerwohnung mit seinen beiden erwachsenen Töchtern, die ihm im Haushalt zur Hand gingen. Die ältere, dunkelhaarige Tochter kommandierte ihren Vater viel herum, während die jüngere, blonde Tochter versuchte, es ihm recht zu machen. Abends kam der Maurer erschöpft von der Arbeit nach Hause. Deshalb legte er sich im Wohnzimmer aufs Sofa, als gerade seine jüngere Tochter hereinkam.;Der ausruhende Maurer redete mit seiner Tochter.;Der ausruhende Maurer sprang herum.;Der ausruhende Maurer verwitterte mehr und mehr.
26;Im Dorfe lebte einmal ein Männlein, das war so klein gewachsen, dass die Leute lachten, wenn es zu ihrem Hause kam. Doch das Männlein besaß große Reichtümer, und wann immer jemand in Nöten war, kam es, um auszuhelfen. Jeder, der zu dem Männlein wollte, musste durch eine eiserne Gartenpforte treten, auf die der Schatten dreier hoher Eichen fiel.;In einer ländlichen Ortschaft lebte ein Mann, der sehr kleinwüchsig war, weshalb die anderen Anwohner sich oft über ihn lustig machten. Der Mann war äußerst vermögend und half altruistisch jedem aus, der in finanziellen Schwierigkeiten steckte. Um für einen Privatkredit bei ihm vorstellig werden zu können, musste man durch eine eiserne, im Schatten hoher Platanen gelegene Gartenpforte hindurchgehen.;Die schattige Gartenpforte rostete im Laufe der Jahre.;Die schattige Gartenpforte flimmerte in der Sonne.;Die schattige Gartenpforte schlief immer tiefer.
27;In einem Dorf lebte eine alte Frau, die besaß eine kleine Hütte und ein verwachsenes Kräutergärtchen. Das Kräutergärtchen aber war von sieben hohen Bäumen umringt und darin hatten sieben Vögel sieben Nester gebaut. In ihrem Hüttchen aber hielt die Frau einen seltenen Vogel in einem Käfig, der zwitscherte des Abends gemeinsam mit den Vögeln im Garten.;Eine ältere Dame hatte eine kleine Erdgeschosswohnung, vor der ein verwilderter Garten lag, in dem sie ein paar Kräuter anpflanzte. Im Garten stand ein hoher Baum, in dem ein Vogel nistete. In ihrer Wohnung hielt die Frau außerdem einen Kanarienvogel in einem Käfig. Jeden Abend öffnete die Dame das Fenster vor dem Käfig und beide Vögel zwitscherten gemeinsam.;Der eingesperrte Vogel sang sein Lied.;Der eingesperrte Vogel flog davon.;Der eingesperrte Vogel welkte dahin.
28;Ein Krämer hatte einen Garten, in dem Garten stand ein alter Baum, und unter dem Baum wuchsen drei kleine rote Rosen. Eines Tages kam die jüngste Tochter des Krämers in den Garten, und sie beugte sich nieder, um die Blümchen zu pflücken. Doch als sie die erste Rose brach, stach sie sich daran und ließ sie ins Gras fallen.;Im Garten eines Ladeninhabers stand ein Birnbaum, der jedes Jahr auch ohne den Einsatz von Kunstdünger reichliche Früchte trug und unter dem mehrere rote Rosen wuchsen. Irgendwann entschloss die jüngste Tochter des Ladeninhabers sich dazu, die Blumen abzuschneiden, und ging zu diesem Zweck in den Garten. Als sie die erste Rose abschnitt, stach sie sich und ließ sie fallen.;Die abgeschnittene Rose welkte vor sich hin.;Die abgeschnittene Rose ergrünte noch ein Mal.;Die abgeschnittene Rose träumte vor sich hin.
29;Eines Abends spät gingen zwei Geschwisterkinder einen langen Weg durch einen tiefen Forst. Bald wurden sie hungrig. Da kamen sie an ein Königsschloss, dessen Tor mit eisernen Nieten beschlagen war. Als sie da standen und schauten, sprach der ältere Knabe zu dem jüngeren: „Brüderlein, wir wollen anklopfen und die Wachen um etwas zu Essen bitten.“;Zwei Brüder machten spätabends einen ausgedehnten Spaziergang durch einen großen Wald. Nachdem sie eine Weile gegangen waren, bekamen sie Hunger. In diesem Moment kamen sie an einem vornehmen Einfamilienhaus vorbei, dessen Eingangstür mit einem Sicherheitsschloss verstärkt war. Da schlug der ältere Junge seinem Bruder vor, an der Tür zu klingeln und nach einem kleinen Imbiss zu fragen. ;Der trödelnde Bruder nuschelte eine Antwort.;Der trödelnde Bruder eilte zum Eingang.;Der trödelnde Bruder faulte innerlich.
30;Als der Fürstensohn heiraten wollte, ließ die alte Fürstin ein Fest ausrichten, zu dem die schönsten und reichsten Mädchen aus dem ganzen Reich geladen waren. Der Fürstensohn tanzte mit jeder, doch keine gefiel ihm. Da verließ er die Tafel und ging zu seinem Pferd. Vor dem Stall kauerte eine arme Magd und teilte ihr karges Mahl mit einer schönen weißen Taube. ;Da dem vielbeschäftigten Politiker die Zeit zur Partnersuche fehlte, meldete ihn seine Mutter bei einer Partneragentur an. Diese veranstaltete ein Speed-Dating, zu dem viele attraktive Kandidatinnen erschienen. Der Manager unterhielt sich mit allen, fühlte sich aber zu keiner hingezogen. Deshalb verließ er die Veranstaltung und ging zu seinem Auto. Vor dem Parkhaus kauerte eine obdachlose Frau und fütterte eine hübsche Taube.;Die flinke Taube flog davon.;Die flinke Taube hinkte davon.;Die flinke Taube knirschte vernehmlich.
31;Einst lebte ein junger Hirte, der hatte sieben weiße Schäfchen. Als er seine Herde jenseits des dunklen Waldes weidete, kam er an ein Bächlein mit kristallklarem Wasser. Um heimzukehren, musste der junge Hirte das Bächlein überqueren, doch ein Sturm hatte die alte Holzbrücke fortgeweht. Da setzte sich der Jüngling auf einen großen Baumstumpf und stützte den Kopf in die Hand. ;Ein Schafzüchter besaß zehn Alpenschafe. Nachdem die Herde tagsüber außerhalb der Ortschaft hinter einem Waldstück geweidet hatte, führte er sie zu einem Bach mit sehr sauberem Wasser. Um zurück zum Stall zu kommen, musste er den Wasserlauf überqueren, doch ein Unwetter hatte die Brücke einstürzen lassen. Der Schafzüchter dachte, auf einem Baumstumpf sitzend, über eine alternative Route zurück zum Stall nach.;Der verwesende Baumstumpf faulte im Regen.;Der verwesende Baumstumpf duftete stark.;Der verwesende Baumstumpf pfiff ein Lied.
32;Ein junger Herold ritt einmal auf seinem Pferde einen dunklen Weg entlang. Da begegnete ihm ein altes Bettelweib, das ihn um ein Almosen anging. Das Pferd des Herolds wieherte laut, doch sie sprach: „Guter Herr, wenn Ihr gütig zu mir seid, so will ich Euch reich belohnen.“ Der Herold griff nach seinem Geldbeutel, der in seiner Satteltasche steckte.;Ein junger Fernsehmoderator fuhr in der Dämmerung eine schlecht beleuchtete Straße entlang. Er bemerkte eine alte Bettlerin, die neben der nächsten Ampel stand. Beim Bremsen quietschte der Sportwagen merkwürdig, doch die alte Frau sagte: „Wenn Sie mir den Gefallen tun, werde ich mich erkenntlich zeigen.“ Der Fernsehmoderator griff daraufhin in seine Aktentasche, in der sich sein Geldbeutel befand.;Der fest verschlossene Geldbeutel klemmte unter einem Buch.;Der fest verschlossene Geldbeutel klaffte weit auf.;Der fest verschlossene Geldbeutel hinkte davon.
