Story;def not;prob no;undecided ;prob yes;def yes
Ein wohlhabender alter Mann hatte es sich in den Kopf gesetzt, unbedingt noch einmal zu heiraten. Er wünschte sich eine junge Frau mit hellblonden, glatten Haaren und blauen Augen. Er beauftragte seinen Privatsekretär mit der Suche nach einer geeigneten Partnerin. Der Privatsekretär gab eine Kontaktanzeige auf und fuhr bald darauf zur ersten Interessentin, die auf sein Klingeln die Tür öffnete.;2;2;;;
Ein Edelmann wollte auf seine alten Tage noch einmal heiraten. Er wünschte sich ein junges Weib, mit Haaren, fein und hell wie gesponnenes Gold, und Augen, blau und tief wie das Meer. Dies ließ er seinen Boten durchs Land reisen, um eine Gemahlin für ihn zu finden. Als der Bote bei der ersten Frau klopfte, öffnete sie ihm die Tür.;;;;1;3
Ein Ehepaar wünschte sich lange vergeblich ein Kind, denn sie hatten schon immer gehofft, eine Familie zu gründen. Eines Tages hörten sie von einem Arzt, der auf künstliche Befruchtung spezialisiert war. Sie vereinbarten einen Termin für eine solche Behandlung, die bereits beim ersten Versuch erfolgreich verlief. Neun Monate später brachte die Frau einen gesunden Sohn zur Welt.;3;1;;;
Ein Schuster und seine Frau wünschten sich lange vergeblich ein Kind, denn es ward ihnen noch keines geschenkt. Eines Tages hörten sie von einem alten Kräuterweib, das in solchen Dingen Rat wusste. Sie besuchten das Weiblein und es gab der Frau des Schusters ein trockenes Kraut zu essen. Schon im nächsten Sommer gebar sie einen kräftigen Sohn.;;;;;4
Ein Architekt geriet wegen seiner Entwürfe immer wieder mit seinem Arbeitgeber in Konflikt. Daraufhin beschloss er, zu kündigen und sich eine andere Stelle zu suchen. In seiner Tageszeitung las er, dass im Nachbarort eine alte Adelsfamilie einen Architekten für die Sanierung ihrer alten Schlossanlage einstellen wollte. Er bewarb sich deshalb bei dem alten Fürsten, der nur noch im Bett lag. ;2;2;;;
Ein reicher Kaufmann hatte einmal eine Auseinandersetzung mit seinem Kammerdiener. Da beschloss der Diener, sich aufzumachen, um eine andere Anstellung zu suchen. Schließlich vernahm er, dass in einem kleinen Schlosse auf der anderen Seite des Flusses ein fleißiger und ergebener Kammerdiener gesucht werde. Da bot der Mann geschwind dem alten Fürsten, welcher nur noch im Bette lag, seine Dienste an.;;;;3;1
Ein gut aussehender Manager verliebte sich bei einer Geschäftsreise nach Ägypten in die attraktive Tochter seines Businesspartners. Wenig später reiste der Manager zurück in sein Heimatland. Von dort schrieb er seinem Businesspartner jeden Tag eine E-Mail, mit der Bitte, um die Hand seiner Tochter anhalten zu dürfen. Der Vater ging zu seiner Tochter, um ihr von den Emails zu berichten.;3;1;;;
Auf seiner langen Reise durch ein fernes Land verliebte sich der stattliche Prinz in die wunderschöne Tochter eines fremden Grafen. Bald reiste der Prinz zurück in sein Königreich. Hier schrieb er dem Grafen jeden Tag einen neuen Brief, mit dem Wunsch, sich mit seiner Tochter vermählen zu dürfen. Da ging der Vater zu seiner Tochter, um ihr davon zu erzählen.;;;1;2;1
Ein namhafter Portraitmaler wurde in die Villa eines Privatiers gerufen. Dieser machte ihm ein finanziell äußerst lukratives Angebot dafür, ein schönes Bild von seiner Frau anzufertigen, das der Maler annahm. Als der Privatier aber nach der Atelierssitzung das fertige Gemälde sah, stellte er eine mangelnde Ähnlichkeit zwischen dem Abbild und seiner Frau fest und warf das Gemälde ins Kaminfeuer. ;1;1;2;;
Vor vielen Jahren trug es sich zu, dass ein Maler in das Haus eines reichen Edelmanns gerufen wurde. Dieser wollte ihn reich belohnen, wenn er ihm ein Gemälde von seiner Frau malen wollte. Also machte sich der Maler ans Werk. Doch als der Edelmann das fertige Bild sah, erkannte er seine Gemahlin nicht und warf das Gemälde ins Kaminfeuer.;;1;;;3
Eine junge Frau litt unter regelmäßig wiederkehrender Migräne. Sie hatte bereits mehrere Ärzte und Heilpraktiker aufgesucht, aber keiner hatte sie erfolgreich behandeln können. Schließlich hörte sie von einem Alternativmediziner, der für die Erfolge seiner unkonventionellen Behandlung von Migräne sehr bekannt war, und vereinbarte einen Termin mit ihm. Zur Entspannung begann er mit einer Klangschalentherapie und einem homöopathischen Kräutersud.;4;;;;
In einem Schloss lebte ein junges Burgfräulein, das plagte ein immer wiederkehrender leichter Schmerz in seinem zarten Körper. Da hörte es von einem Greis aus einem fernen Land, der ihm das Weh mit seiner Heilkunst austreiben wollte. So kam es, dass er es mit goldenen Schalen bedeckte und ihm einem Kräutersud aus Heilpflanzen auf dem Antlitz verrieb.;;;;3;1
In einem Nationalpark gab es eine beträchtliche Anzahl von Wölfen, die in zwei große Rudel unterteilt waren und den Bestand an anderen Arten im Park stark dezimierten. Die Population vermehrte sich so stark, dass die Fläche und das Nahrungsangebot nicht mehr für beide Rudel ausreichten. Nach einer Reihe von Kämpfen zwischen den beiden Rudelführern wurde der schwächere Wolf vertrieben.;4;;;;
Ein junger Mann beschloss, durch einen tiefen Fluss zu schwimmen. Wie Augenzeugen berichteten, ließ sich der Mann zuerst an den Ästen der Uferböschung herunter ins Wasser, und trieb dann zur anderen Seite hinüber. Eine Gruppe von Polizisten nahm irrtümlich an, dass er in Not sei und Hilfe brauchte, und versuchte ihn mit einer Leine aus dem Wasser zu holen.;3;;1;;
Der Chef eines Musiklabels suchte für eine Band, die bei ihm unter Vertrag stand, eine neue Sängerin. Über einen längeren Zeitraum hinweg hielt er mehrere Castings ab, aber mit keiner Sängerin war er richtig zufrieden. Als er zufällig eine junge Putzfrau vor sich hinsummen hörte, überredete er sie kurzerhand zu einem Termin für ein Vorsingen. Dort war das Mädchen sehr eingeschüchtert.;2;1;1;;
Es lebte früher ein König, der wünschte sich für seine Hofkapelle eine Sängerin. Lange hatte er vergeblich nach einem feinen Stimmchen gesucht, doch keine, die an seinem Thron gesungen hatte, vermochte sein Herz zu erfreuen. Endlich kam eine junge Küchenmagd an den Hof und als der König sie singen hörte, lud er sie zu einem Konzert. Das Mädchen war sehr beklommen.;;;;;4
Ein Chauffeur in Staatsdienst bekam von höchster Stelle den Auftrag, einen wichtigen Diplomaten zu befördern. Bis tief in die Nacht polierte er seine beste Limousine so blank, dass man sich in ihrem Lack spiegeln konnte. Aber als er am nächsten Morgen aus der Garage fahren wollte, bemerkte der Mann, dass der Wagen einen platten Reifen hatte. ;1;3;;;
Es lebte einmal ein Kutscher, der diente einem mächtigen König. Auf Geheiß des Herrschers putzte er das edelste Pferd bis tief in die Nacht so blank, dass es über und über im Licht der Fackeln glänzte. Doch als er das Ross am nächsten Morgen anspannen wollte, da sah der Mann, dass es auf einem Bein lahmte.;;;1;1;2
Der Sohn eines Landwirts erbte von seinem Vater eine kleine Rinderzucht und ein Stück dazugehöriges Land. Einige Jahre führte er das Geschäft seines Vaters fort. Doch wegen Überangebots sanken die Milch- und Fleischpreise immer weiter. Da kam der junge Mann schließlich auf die Idee, das Zuchtgeschäft zu verkaufen und auf ökologischen Getreideanbau mit dem Schwerpunkt Weizen umzusteigen. ;3;1;;;
Ein junger Bauernsohn erbte von seinem Vater zwölf Kühe und drei Weiden. Einige Jahre bestellte er den Hof seines Vaters. Doch weil jeder Mann im Dorfe eine eigene Kuh hatte, wurde es ihm recht mühsam, Milch und Fleisch gut zu verkaufen. Da kam es ihm einmal in den Sinn, alle zwölf Kühe gegen sieben Zentner Weizen einzutauschen. ;;;;3;1
Eine vermögende Frau lebte lange Zeit zufrieden in einer schönen Villa. Nach einigen Jahren jedoch gefiel ihr diese plötzlich nicht mehr, und sie beschloss in ein größeres, komfortableres Haus umzuziehen. Sie beauftrage daraufhin einen Makler mit der Suche nach ihrem persönlichen Wunschhaus. Als der Makler bei einem der von ihm verwalteten Anwesen vorfuhr, setzte heftiger Regen ein.;1;3;;;
In einem schönen Schloss lebte eine Gräfin viele, viele Jahre glücklich und zufrieden. Aber wie es so kam, gefiel es ihr plötzlich nicht mehr, und sie wünschte sich ein noch größeres und prächtigeres Schloss. Da schickte sie einen Diener, auf dass er ihren Wunsch erfülle. Als er an einem großen Anwesen vorüber kam, zogen dunkle Wolken auf.;;;1;3;
Eine junge Frau, die eine große Leidenschaft für Mode hatte, besaß einen ganzen Schrank voller schöner Kleider. Einmal war sie mit einem attraktiven Mann verabredet. Der Mann wollte sie mit einer Kutschfahrt überraschen, doch weil die Frau stundenlang vor dem Spiegel stand und sich nicht entscheiden konnte, was sie anziehen wollte, ließ der Mann das Kutschenpferd stehen und ging hinein. ;1;1;2;;
In einem Fürstentum lebte eine Prinzessin, die besaß tausend schöne Kleider. Eines Tages sollte sie den Prinzen zu einem Ball begleiten. Der Prinz fuhr in seiner Kutsche vor, doch die Prinzessin drehte und wendete sich über Stunden vor ihrem Spiegel und wusste nicht, in welchem Kleid sie am schönsten aussah. Da ließ der Prinz sein Kutschpferd stehen und ging zu ihr.;;;;;4
Der hochbegabte Sohn eines Viehzüchters war in ganz Deutschland für seine außergewöhnliche Intelligenz bekannt geworden, die er wiederholt mit der Lösung komplexer Probleme unter Beweis gestellt hatte. Es gab kaum Wissensgebiete, in denen er sich nicht auskannte. Deshalb wurde das Kind zu Talkshows verschiedener regionaler und nationaler Fernsehsender eingeladen, wo ihm vor laufender Kamera vom Moderator Wissensfragen gestellt wurden.;2;2;;;
Vor langer Zeit lebte ein Hirtenbübchen, das war im ganzen Land bekannt für die klugen Antworten, die es trotz seiner jungen Jahre geben konnte. Niemand hatte ihm je eine Frage stellen können, die es nicht beantworten konnte. So kam es, dass das Kind in Länder nah und fern eingeladen wurde, damit ihm die Leute einmal eine Frage stellen konnten.;;;;1;3
Der Besitzer eines Müllerbetriebs hatte nach einem schwierigen Geschäftsjahr beschlossen, die Firma zu verkaufen. Deshalb berief er seine Angestellten zu einer Besprechung ein und sagte ihnen, dass sie sich am besten anderswo bewerben sollten. Bevor sie gingen, gab er jedem von ihnen zur Erinnerung einen Sack Mehl aus dem Betrieb. Doch einer der Angestellten ließ aus Versehen seinen Mehlsack fallen.;1;2;1;;
Es war ein alter Müller, der hatte eine Mühle, doch der Mühlbach war ausgetrocknet. Da rief er seine drei Söhne und sprach zu ihnen: „Es ist an der Zeit für euch, in die Welt hinauszugehen und euer Glück zu machen.“ Und er gab einem jeden von ihnen ein kleines Säcklein voll Mehl. Doch der jüngste Sohn ließ seinen Mehlsack fallen.;;;;1;3
Ein Maurer hatte einmal zwei Töchter, die besorgten ihm den Haushalt. Die ältere Tochter war herrschsüchtig und ihr Haar war schwarz wie Ebenholz, doch die jüngere Tochter war gehorsam und still und ihr Haar war gülden wie Weizen. Eines Abends kam der Maurer erschöpft von der Arbeit heim. Drum legte er sich auf die Ofenbank. Da kam die jüngere Tochter herein.;;;;1;3
Eine ältere Dame hatte eine kleine Erdgeschosswohnung, vor der ein verwilderter Garten lag, in dem sie ein paar Kräuter anpflanzte. Im Garten stand ein hoher Baum, in dem ein Vogel nistete. In ihrer Wohnung hielt die Frau außerdem einen Kanarienvogel in einem Käfig. Jeden Abend öffnete die Dame das Fenster vor dem Käfig und beide Vögel zwitscherten gemeinsam.;3;;;1;
In einem Dorf lebte eine alte Frau, die besaß eine kleine Hütte und ein verwachsenes Kräutergärtchen. Das Kräutergärtchen aber war von sieben hohen Bäumen umringt und darin hatten sieben Vögel sieben Nester gebaut. In ihrem Hüttchen aber hielt die Frau einen seltenen Vogel in einem Käfig, der zwitscherte des Abends gemeinsam mit den Vögeln im Garten.;;;1;;3
Ein Krämer hatte einen Garten, in dem Garten stand ein alter Baum, und unter dem Baum wuchsen drei kleine rote Rosen. Eines Tages kam die jüngste Tochter des Krämers in den Garten, und sie beugte sich nieder, um die Blümchen zu pflücken. Doch als sie die erste Rose brach, stach sie sich daran und ließ sie ins Gras fallen.;;;1;3;
Im Dorfe lebte einmal ein Männlein, das war so klein gewachsen, dass die Leute lachten, wenn es zu ihrem Hause kam. Doch das Männlein besaß große Reichtümer, und wann immer jemand in Nöten war, kam es, um auszuhelfen. Jeder, der zu dem Männlein wollte, musste durch eine eiserne Gartenpforte treten, auf die der Schatten dreier hoher Eichen fiel.;;;;1;3
Eines Abends spät gingen zwei Geschwisterkinder einen langen Weg durch einen tiefen Forst. Bald wurden sie hungrig. Da kamen sie an ein Königsschloss, dessen Tor mit eisernen Nieten beschlagen war. Als sie da standen und schauten, sprach der ältere Knabe zu dem jüngeren: „Brüderlein, wir wollen anklopfen und die Wachen um etwas zu Essen bitten.“;;;;;4
Da dem vielbeschäftigten Politiker die Zeit zur Partnersuche fehlte, meldete ihn seine Mutter bei einer Partneragentur an. Diese veranstaltete ein Speed-Dating, zu dem viele attraktive Kandidatinnen erschienen. Der Manager unterhielt sich mit allen, fühlte sich aber zu keiner hingezogen. Deshalb verließ er die Veranstaltung und ging zu seinem Auto. Vor dem Parkhaus kauerte eine obdachlose Frau und fütterte eine hübsche Taube.;1;2;1;;
Als der Fürstensohn heiraten wollte, ließ die alte Fürstin ein Fest ausrichten, zu dem die schönsten und reichsten Mädchen aus dem ganzen Reich geladen waren. Der Fürstensohn tanzte mit jeder, doch keine gefiel ihm. Da verließ er die Tafel und ging zu seinem Pferd. Vor dem Stall kauerte eine arme Magd und teilte ihr karges Mahl mit einer schönen weißen Taube. ;;;;;4
Einst lebte ein junger Hirte, der hatte sieben weiße Schäfchen. Als er seine Herde jenseits des dunklen Waldes weidete, kam er an ein Bächlein mit kristallklarem Wasser. Um heimzukehren, musste der junge Hirte das Bächlein überqueren, doch ein Sturm hatte die alte Holzbrücke fortgeweht. Da setzte sich der Jüngling auf einen großen Baumstumpf und stützte den Kopf in die Hand. ;;;;;4
Ein Knecht hatte einmal einen schwarzen Ochsen vor den Pflug gespannt und pflügte die Erde auf dem Acker seines Herrn. Da sah er es in der Furche schimmern wie von Gold und begann danach zu graben. Er grub und grub und bald stand vor ihm ein güldener Topf, bis zum Rand gefüllt mit weißem Sand, den kippte er aus.;;;1;;3
Ein junger Fernsehmoderator fuhr in der Dämmerung eine schlecht beleuchtete Straße entlang. Er bemerkte eine alte Bettlerin, die neben der nächsten Ampel stand. Beim Bremsen quietschte der Sportwagen merkwürdig, doch die alte Frau sagte: „Wenn Sie mir den Gefallen tun, werde ich mich erkenntlich zeigen.“ Der Fernsehmoderator griff daraufhin in seine Aktentasche, in der sich sein Geldbeutel befand.;1;3;;;
Ein junger Herold ritt einmal auf seinem Pferde einen dunklen Weg entlang. Da begegnete ihm ein altes Bettelweib, das ihn um ein Almosen anging. Das Pferd des Herolds wieherte laut, doch sie sprach: „Guter Herr, wenn Ihr gütig zu mir seid, so will ich Euch reich belohnen.“ Der Herold griff nach seinem Geldbeutel, der in seiner Satteltasche steckte.;;;;2;2
Ein alter Freizeitangler hockte am Teich vor seinem Grundstück und machte wiederholt Fangversuche. In dem Teich befanden sich einige Forellen, doch die Versuche blieben erfolglos. Da überlegte er sich: „Wenn ich heute Abend Fisch essen will, sollte mir ein Fang gelingen.“ Gerade als er das gedacht hatte, bemerkte der Fischer, dass eine der Forellen angebissen hatte.;2;2;;;
Ein alter Fischer hockte einmal am Teich vor seinem kleinen Haus, der warf seine Schnur aus wieder und wieder. In dem Teich waren sieben kleine Fischlein, doch keines wollte beißen. Da dachte er bei sich: „Wenn ich nicht hungern will, so muss ich ein Fischlein fangen.“ Da merkte der Fischer plötzlich, wie es an der Angel zog.;;;1;1;2
Ein wohlhabender Politiker heiratete seine junge und gutaussehende Verlobte. In einer großen schwarzen Limousine fuhren sie zum Standesamt. Vor dem Gebäude warteten bereits die zahlreichen Hochzeitsgäste. Eine langjährige Freundin, die von dem Ereignis sehr gerührt war, umarmte die Braut eine ganze Weile. Einige ihrer Freudentränen tropften neben den Brautkranz, der zum Schmuck an der Tür des Wagens befestigt war.;2;1;1;;
Ein Fürst wollte Hochzeit halten. Seine Braut war schön und jung, und in einer roten Kutsche fuhren sie zum Festsaal. Die Kammerzofe freute sich für ihre Herrin und am Hochzeitstage begleitete sie die Jungvermählten. Als das Brautpaar aus der Kutsche stieg, vergoss die Zofe sieben Freudentränen, die neben den Brautkranz fielen, der zur Zierde an den Wagen gebunden war.;;;2;1;1
Ein Zimmermann wollte seinen Urlaub auf einer Ferieninsel verbringen. Die Strecke legte er mit dem Flugzeug zurück. Bei der Passkontrolle musste er eine Weile warten. Da näherte sich ein kleiner Mann mit einem Aktenkoffer, zog ein Kästchen daraus hervor und sagte: „Bitte nehmen Sie das für mich mit über die Grenze.“ Arglos nahm der Zimmermann die Kiste an sich.;2;2;;;
Ein Zimmermann ging auf Wanderschaft. Er tauchte durch einen Fluss, wanderte durch drei Wälder und über sieben Felder. Er kam vor eine hohe Mauer und weit und breit war nur ein einziger Durchgang. Da erschien ein Männchen mit einer Schatulle aus Eibenholz und sprach: „Bitte nimm dies Kästchen auf die andere Seite der Mauer.“ Da nahm der arglose Zimmermann die Kiste.;;1;;1;2
Der junge Lehrling in dem noblen Pferdegestüt hatte gerade das Trinkwasser nachgefüllt, als der Stallmeister ihm von der Stalltür aus zurief: „Mach das Pferd fürs Ausreiten bereit.“ Der Lehrling erfüllte den Auftrag. Während er das Pferd sattelte, bildeten sich am Himmel dunkle Wolken und ein starker Wind kam auf. Die Stalltür wurde von einem plötzlichen Windstoß getroffen.;;2;2;;
Als der junge Stallbursche einst die Pferde getränkt hatte, kam der Rittmeister zu ihm und sprach: „Geh und hol das silberne Geschirr für den Schimmel.“ Da tat der Stalljunge, wie ihm geheißen. Als er das Pferd sattelte, zogen am Himmel dunkle Wolken heran und es blies ein gar starker Wind. Da traf ein heftiger Windstoß die Stalltür.;;;;1;3
Bei einer Hofdame in Diensten lebte eine junge Magd, die war sehr arm. Ihr einziger Besitz war ein hölzernes Figürchen, das ihr die Großmutter gegeben hatte. Eines Nachts lag sie im Bettchen in ihrer Stube und besah sich das schöne Figürchen im Kerzenschein. Da glitt es ihr aus der Hand, fiel zu Boden und rollte über die Dielen. ;;;2;1;1
Einst lebte eine Stiefmutter, die bat ihre Stieftochter, ihr bei der Arbeit auf dem Felde zu helfen. Als das Mädchen tief gebeugt Kräuterlein zupfte, kam ein weiser Alter des Wegs und sprach: „Gutes Kind, der Buckel steht dir recht schlecht. Wer gab dir solche Arbeit?“ Da legte sich die Stieftochter eine Weile auf ein Bänkchen und nickte ein.;;;1;1;2
Die Frau eines erfolgreichen Musikproduzenten spielte mit Vorliebe auf ihrer goldenen Querflöte. Ihre Musik war so schön, dass Passanten häufig vor dem Haus anhielten und zuhörten, und bald wusste das ganze Viertel von ihrem Talent. Der Musikproduzent veranstaltete daraufhin ein Kiezfest, auf dem seine Frau auftreten sollte. Doch als sie die Bühne betrat, stolperte sie und ließ ihre Flöte fallen.;3;1;;;
Eine junge Herzogin spielte gern auf ihrer goldenen Flöte, denn die hatte ihr der Herzog zum Geschenk gemacht. Ihr Spiel war so rein, dass das Volk von nah und fern herbeiströmte, um die Musik zu hören. Da ließ der Herzog ein Fest ausrichten, wo sie spielen sollte. Doch als sie den Schlossbalkon betrat, strauchelte sie und ließ die Flöte fallen.;;;;1;3
Ein Wanderer durchquerte einen Wald, der sehr dicht und ausgedehnt war. Er zog den Reißverschluss seines Anoraks zu und drang langsam zwischen den Bäumen vor. Als er auf eine Lichtung kam, fand er dort einige essbare Pilze. Bei näherer Untersuchung stellte er fest, dass sie auf schlammigem Boden wuchsen. Der Wanderer schnitt einen Pilz ab und kostete ihn vorsichtig. ;1;1;2;;
Einmal kam ein Wandersmann durch einen Wald, der war sehr dunkel und tief. Er zog seinen Umhang fest zu und schritt langsam zwischen den hohen Eichenstämmen entlang. Alsbald kam er auf eine Lichtung, da wuchsen drei Pilze. Doch als er hinzutrat, sah er, dass sie in einem sumpfigen Tümpel standen. Weil er aber hungrig war, schnitt er einen Pilz ab.;;2;1;1;
Ein Metallarbeiter des Stahlwerks war sehr muskulös und arbeitete mutig direkt an den Hochöfen. In seinem Schutzanzug rührte er das geschmolzene Eisen, bis Funken aus dem Schmelztiegel aufstiegen. Als ein Großauftrag eintraf, sagte er zu einem Auszubildenden: „Stell den Ofen auf maximale Hitze.“ Dann nahm er eine große Menge rohes Eisen, öffnete den Ofen und warf das Metall ins Feuer. ;3;1;;;
Einst lebte ein Schmied, der war sehr stark und fürchtete nicht das Feuer. Mit seinem Hammer hieb er aufs Eisen, dass Funken sprühten. Als er ein Tor schmieden sollte, sagte er zum Gesellen: „Mach Feuer und schüre es, bis die Flamme so heiß ist wie die Sonne.“ Dann nahm er ein großes Stück Eisen und warf das Metall in die Glut.;;;;1;3
Ein Tischlermeister hatte drei Söhne, die im Geschäft mithalfen. Die beiden älteren arbeiteten hart. Aber der jüngste Sohn, ein rothaariger Junge, interessierte sich wenig für den Betrieb. Einmal zog er sich sogar in ein naheliegendes Waldstück zurück, anstatt wie seine Brüder zur Arbeit zu kommen. Diese suchten ihn lange, und schließlich merkte der Rotschopf, dass sie sich seinem Versteck näherten.;1;1;2;;
Ein Tischlermeister hatte einst drei Söhne. Die beiden älteren erhoben sich jeden Morgen früh und halfen getreulich in des Vaters Werkstatt. Doch dem jüngsten Sohn, einem rechten Rotschopf, war die Arbeit nicht lieb. Einmal verbarg er sich im Wald, anstatt seinen Brüdern zur Hand zu gehen. Da suchten sie und suchten, bis der Rotschopf merkte, wie sie seinem Versteck näherkamen.;;;;2;2
Ein junger Bauer hatte vor, seine Ernte zu einer Getreidemühle zu bringen. Er belud seinen Transporter mit zahlreichen Paletten und fuhr los. Bereits in Sichtweite des Mühlengebäudes versperrte ein abgebrochener Ast, der quer über der Straße lag, die Fahrbahn. Er befestigte kurzerhand ein Seil an dem Ast. Dann zog der Bauer so kräftig, dass sich der Ast bewegte.;1;1;2;;
Für eine große Familienveranstaltung war die Mitarbeiterin eines Catering-Services mit den Vorbereitungen betraut. Schon morgens begann sie mit der Arbeit. Sie bereitete Geflügel-Braten zu, stellte Platten mit Häppchen zusammen und schlug Sahne für die Desserts. Damit war sie den ganzen Tag beschäftigt. Erst nach der Veranstaltung kam sie dazu, selbst etwas zu essen, und bediente sich an ihren übrig gebliebenen Speisen.;4;;;;
Eine Köchin richtete einst ein großes Festmahl für ihre Herrschaft aus. Schon im Morgengrauen kam sie in die Küche und begann mit der Arbeit. Sie rupfte und briet drei Fasane, backte sieben Kuchen und butterte hundert Brote. So war sie den ganzen Tag fleißig. Nach dem Fest legte die Köchin die Arbeit nieder und labte sich an den Resten des Festschmauses.;;;;3;1
Ein Waldarbeiter hatte vor, einen großen Baum zu fällen. Er nahm seine Axt und begann, eine Kerbe in den Stamm zu schlagen. Das Holz war jedoch sehr widerstandsfähig, sodass der Waldarbeiter die Arbeit abends abbrach und müde nach Hause ging. Als seine Frau sah, wie erschöpft er war, machte sie warme Wickel und band sie fest um seine Waden. ;1;2;1;;
In einem dunklen Wald lebte einst ein Holzfäller, der wollte er eine große Eiche fällen. Mit seiner Axt hieb er in den Stamm, doch das Holz war fest und am Abend war die Eiche noch nicht gefallen. Da ging der Holzfäller müde heim. Seine Frau sah, dass er erschöpft war, und band ihm warme Wickel fest um die Waden.;;;;2;2
